2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 51, oldScore: 9.16E-5, newScore: 0.08174278447490947, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 49, oldScore: 4.969E-4, newScore: 0.008015741045913103, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 53, oldScore: 0.0011953, newScore: 0.0019232470819106453, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 59, oldScore: 0.0087081, newScore: 0.04341768488119726, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 56, oldScore: 0.0015695, newScore: 0.0038886383594043043, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 60, oldScore: 4.19E-4, newScore: 0.004161746626045811, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 8, oldScore: 0.0034761, newScore: 0.0034761074393997275, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 78, oldScore: 0.0018754, newScore: 0.0018753553527814644, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 74, oldScore: 1.243E-4, newScore: 0.9999999999999992, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 20, oldScore: 0.0, newScore: 2.8513271301745883E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 23, oldScore: 0.0011882, newScore: 0.7463766361636598, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 22, oldScore: 9.698E-4, newScore: 0.0011863285030380716, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 25, oldScore: 0.0061848, newScore: 0.008290980598302662, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 27, oldScore: 0.0024514, newScore: 0.002451379408568599, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 26, oldScore: 0.0011354, newScore: 0.9960900557681753, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 29, oldScore: 6.91E-5, newScore: 1.0392106613484314E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 31, oldScore: 9.181E-4, newScore: 0.947279009677654, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 30, oldScore: 0.0012936, newScore: 0.01953835634647986, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 34, oldScore: 0.0237569, newScore: 1.0, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 35, oldScore: 0.004777, newScore: 1.0, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 32, oldScore: 0.0020899, newScore: 0.0029756579818943623, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 38, oldScore: 2.568E-4, newScore: 3.039996384537271E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 36, oldScore: 0.0018846, newScore: 1.0, minExpiry: 02/18/2015, maxExpiry: 03/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 37, oldScore: 3.69E-4, newScore: 0.004533464814502189, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 42, oldScore: 0.0063483, newScore: 0.015301268569081596, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 43, oldScore: 0.0108011, newScore: 0.01280477080313783, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 40, oldScore: 0.0037178, newScore: 0.004988098119703566, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 41, oldScore: 0.0023695, newScore: 0.005787215454683018, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 47, oldScore: 0.001631, newScore: 1.0, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 51, oldScore: 9.16E-5, newScore: 0.003097091303306105, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 50, oldScore: 0.0, newScore: 0.9999999999998499, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
